ลำดับ,รูปแบบสื่อ,หมวดหมู่,ชิ้นงาน,thumnail,ลิงก์
2,สารคดี,การจัดการไฟป่า,EP.1 เริ่มฤดูไฟป่าหรือฝุ่นควัน (จะชิงเผาหรือห้ามเผา จะจัดการเช่นไรในบริบทที่ต่าง),https://scontent-dfw6-1.xx.fbcdn.net/v/t15.5256-10/426098588_770312434963232_1270847766026887160_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=596eb7&_nc_ohc=6gN_tJbJ7oUQ7kNvwHrlC0S&_nc_oc=AdlYg0LzcsGrp8HvcwK1wXG8R6YEOI3lGC9ozv4BfHd2BdnhL4vmKr21irAvCU0ymZ4&_nc_zt=23&_nc_ht=scontent-dfw6-1.xx&_nc_gid=zNVDTCV-p8w9OAM7TTkZ4Q&oh=00_AfvPy4WUy2PeRIRsmuTJx3omvgkOP9dBHsp5qe4IdQdTKQ&oe=69985FFD,https://www.facebook.com/thaithenorth/videos/770304661630676
10,วีดีโอสั้น,การจัดการไฟป่า,จัดการไฟในป่าได้ ฝุ่นก็ลด?,https://scontent-dfw6-1.xx.fbcdn.net/v/t15.5256-10/426309183_313223105084193_5403306710533987383_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=596eb7&_nc_ohc=qp9lak94_tUQ7kNvwG-GZ6d&_nc_oc=Adl5ri-13RoU0WLf2El0iEW2XzyMvj4movAYxbR2GdcOZzPILlXyAEabEPXmXs1o-Dc&_nc_zt=23&_nc_ht=scontent-dfw6-1.xx&_nc_gid=MjrLIs5gTUpTxuqR2wg9zA&oh=00_AfvZzJfY5FsdRTrPRAdIFLN0DohOjNHd5lE5DCfibVdPXQ&oe=69986B5AA,https://www.facebook.com/thaithenorth/videos/359779753555954
20,วีดีโอสั้น,ฝุ่นข้ามแดน,ฝุ่นข้ามพรมแดน ตอน โต้กลับ,https://scontent-dfw6-1.xx.fbcdn.net/v/t15.5256-10/432305520_762887475909690_458558997670298187_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=596eb7&_nc_ohc=1dQpzJse3qwQ7kNvwFzGx9Z&_nc_oc=AdmvAcLajfWC4mmo2FO92dWZfBWP5tudta1yin2w80DxaV456K7kU8z3XZQbVJCWZxE&_nc_zt=23&_nc_ht=scontent-dfw6-1.xx&_nc_gid=ibdIT80-8hySluwnRX3A1Q&oh=00_AfsWwwedUjDc1Kzu4-4BznQZDM9-SXBXiippHpJ1vKZEug&oe=6998BA500,https://www.facebook.com/thaithenorth/videos/762884165910021
18,วีดีโอสั้น,ฝุ่นข้ามแดน,ฝุ่นข้ามพรมแดน ตอน ตามหาต้นตอฝุ่น...,https://scontent-dfw6-1.xx.fbcdn.net/v/t15.5256-10/432379846_1909975302791035_5741618573260170170_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=596eb7&_nc_ohc=ouE8H24LKJsQ7kNvwFcpGk-&_nc_oc=Adnx-nFD3zHKEBU5xWZHc8e2qkMzWJrIZzUQGJmUIl3BT8ZgywfqS4LMl7Wk-hPUz9k&_nc_zt=23&_nc_ht=scontent-dfw6-1.xx&_nc_gid=JFU6cdezZEFuvYLJlmN8EQ&oh=00_AfsXbUb1IkqA-zSUESIhGfq8I96X3mfIz1h8KTXrCXeiuw&oe=69986330,https://www.facebook.com/thaithenorth/videos/938323778001994
23,วีดีโอสั้น,กฎหมายและสิทธิอากาศสะอาด,เพราะอะไรคนเหนือถึงยื่นฟ้องนายก,https://scontent-fra3-1.xx.fbcdn.net/v/t15.5256-10/340610470_186222277509675_4450980821853680531_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=596eb7&_nc_ohc=Lw6l43vfDJgQ7kNvwHONZMx&_nc_oc=Adno-oAYI5aUmjsRo32iuw4ALxLqqE5vPRlMVBKe4-4WJpCfxEmMVOIRMe1xH_8OlwQ&_nc_zt=23&_nc_ht=scontent-fra3-1.xx&_nc_gid=mVyHzz2JxCCFs2Qo4MEO8Q&oh=00_AfuTyJaDbaAD344ONH--AUeE3XxSI_4c0iUVLk0ofynf1w&oe=6998C45A,https://www.facebook.com/thaithenorth/videos/591617989580243
9,วีดีโอสั้น,การจัดการไฟป่า,"เริ่มแล้ว จัดการ ""ไฟแปลงใหญ่"" อมก๋อย",https://scontent-fra3-1.xx.fbcdn.net/v/t15.5256-10/428784696_1556432101799247_7963844830874955470_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=596eb7&_nc_ohc=r6hIVHP57vYQ7kNvwFKMfb7&_nc_oc=AdkY7J3IGTMVPFbyssXB2mPctHlBxAuDrkfQfSIAjf4ofBTb_ci4edi6XHSVXR0rEcI&_nc_zt=23&_nc_ht=scontent-fra3-1.xx&_nc_gid=-yPnARI9Y-1eFU7mIuW-8Q&oh=00_AfvivMmJniKE0LTQ3J5C37JB5fNi33qSDLFgVylFUEi1Zw&oe=699883AD,https://www.facebook.com/thaithenorth/videos/1556428578466266
21,วีดีโอสั้น,ฝุ่นข้ามแดน,ฝุ่นข้ามพรมแดน ตอน รับมือ,https://scontent-fra3-1.xx.fbcdn.net/v/t15.5256-10/429900689_269244376238305_6381372393621928670_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=596eb7&_nc_ohc=njuO-GUpJroQ7kNvwHT_J0X&_nc_oc=Adni0Zmra9O16vueKMNNRojN1Hb5ZL-Am4TXOzaZJuXTH-iP0WmzAGLopmgce4Lqbkg&_nc_zt=23&_nc_ht=scontent-fra3-1.xx&_nc_gid=g0RDZ8MtX4DAfG5yW9qIIQ&oh=00_AfvWInDHlgMv6IZQds-6CU7HkU3W_fQkaCvqJ9KSSl1uDw&oe=6998C3F9,https://www.facebook.com/thaithenorth/videos/1626638174772917
4,สารคดี,การจัดการไฟป่า,Ep.3 ก่อนจบฤดู เพิ่มในสิ่งที่ขาด,https://scontent-fra3-1.xx.fbcdn.net/v/t15.5256-10/441507197_411199028381456_3145413817336621189_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=596eb7&_nc_ohc=Q1JLaJa1b3oQ7kNvwFWWj7k&_nc_oc=Adk1MBWJFaKna4EYiG6ZXGDIW-gOI9xxmE7NPioZhFaCIlz2lFEfxBLfy-m-93LNchA&_nc_zt=23&_nc_ht=scontent-fra3-1.xx&_nc_gid=T__enMsUFVhWkgaHDx8a1w&oh=00_Afv6fxEEZ9HFXGpjsIwE-XAeNNmVZ8X7dFXMVaLJkLgCJA&oe=699858AE,https://www.facebook.com/thaithenorth/videos/1541776646384728
12,วีดีโอสั้น,การจัดการไฟป่า,ป่าแปลงใหญ่เท่ากับไฟแปลงใหญ่,https://scontent-fra3-2.xx.fbcdn.net/v/t15.5256-10/428777437_926259949284855_917245396977420532_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=596eb7&_nc_ohc=qwdftONCh1QQ7kNvwGSA2OA&_nc_oc=AdmL4er-ZJqu0OPb3Cl88XrOOzJGuGOo6yjUyvPJ-TjfsoWPnqEouJMJFtOyJlXqPQw&_nc_zt=23&_nc_ht=scontent-fra3-2.xx&_nc_gid=ViljE3bWUUSuaZlBoWvkvw&oh=00_Afs1G4b2AHFrH7_y5ygRjTE4BDE8UEiePzZSyPDSJ-hJQw&oe=69986402,https://www.facebook.com/thaithenorth/videos/926578268774864/
16,วีดีโอสั้น,การจัดการไฟป่า,แผนการรับมือฝุ่นควันปีนี้ 2567,https://scontent-fra3-2.xx.fbcdn.net/v/t15.5256-10/428777437_926259949284855_917245396977420532_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=596eb7&_nc_ohc=qwdftONCh1QQ7kNvwGSA2OA&_nc_oc=AdmL4er-ZJqu0OPb3Cl88XrOOzJGuGOo6yjUyvPJ-TjfsoWPnqEouJMJFtOyJlXqPQw&_nc_zt=23&_nc_ht=scontent-fra3-2.xx&_nc_gid=ViljE3bWUUSuaZlBoWvkvw&oh=00_Afs1G4b2AHFrH7_y5ygRjTE4BDE8UEiePzZSyPDSJ-hJQw&oe=699864022,https://www.facebook.com/thaithenorth/videos/926578268774864/
